time_code,value
20190325 06:06,2.04
20190325 06:26,3.94
20190325 06:46,9.3
20190325 07:06,6.68
20190325 07:26,28.29
20190325 07:46,35.08
20190325 08:06,33.27
20190325 08:26,48.8
20190325 08:46,50.58
20190325 09:06,73.64
20190325 09:26,43.4
20190325 09:46,43.73
20190325 10:06,58.22
20190325 10:26,51.74
20190325 10:46,59.17
20190325 11:06,51.63
20190325 11:26,63.45
20190325 11:46,55.75
20190325 12:06,57.73
20190325 12:26,71.64
20190325 12:46,51.27
20190325 13:06,69.63
20190325 13:26,63.76
20190325 13:46,59.13
20190325 14:06,73.24
20190325 14:26,62.05
20190325 14:46,65.15
20190325 15:06,41.43
20190325 15:26,41.73
20190325 15:46,24.94
20190325 16:06,17.12
20190325 16:26,25.95
20190325 16:46,28.56
20190325 17:06,20.22
20190325 17:26,48.9
20190325 17:46,66.0
20190325 18:06,35.72
20190325 18:26,35.36
20190325 18:46,37.2
20190325 19:06,28.44
20190325 19:26,19.35
20190325 20:06,3.28
20190325 20:26,1.98
20190325 20:46,3.93
20190325 21:26,3.27
20190325 21:46,0.42
20190325 23:46,2.37
20190326 00:06,2.45
20190326 00:26,1.56
20190326 00:46,2.34
20190326 06:46,1.56
20190326 07:06,11.01
20190326 07:26,33.34
20190326 07:46,34.91
20190326 08:06,29.28
20190326 08:26,54.36
20190326 08:46,64.68
20190326 09:06,79.91
20190326 09:26,58.02
20190326 09:46,74.56
20190326 10:06,65.92
20190326 10:26,67.74
20190326 10:46,58.44
20190326 11:06,60.34
20190326 11:26,50.6
20190326 11:46,62.63
20190326 12:06,58.74
20190326 12:26,32.65
20190326 12:46,50.55
20190326 13:06,41.1
20190326 13:26,36.11
20190326 13:46,43.83
20190326 14:06,51.87
20190326 14:26,30.23
20190326 14:46,37.86
20190326 15:06,45.91
20190326 15:26,36.03
20190326 15:46,30.31
20190326 16:06,23.36
20190326 16:26,24.5
20190326 16:46,34.11
20190326 17:06,38.55
20190326 17:26,56.33
20190326 17:46,67.14
20190326 18:06,70.36
20190326 18:26,63.1
20190326 18:46,49.06
20190326 19:06,42.62
20190326 19:26,40.57
20190326 19:46,38.51
20190326 20:06,16.38
20190326 20:26,5.28
20190326 20:46,15.3
20190326 21:06,5.4
20190326 21:26,7.65
20190326 21:46,3.58
20190326 22:06,20.94
20190326 22:26,32.67
20190326 22:46,29.4
20190326 23:06,28.23
20190326 23:26,34.26
20190327 00:06,17.38
20190327 00:46,2.67
20190327 01:06,0.83
20190327 04:06,2.4
20190327 06:06,1.71
20190327 07:06,7.51
20190327 07:26,42.15
20190327 07:46,43.87
20190327 08:06,33.61
20190327 08:26,53.88
20190327 08:46,73.77
20190327 09:06,47.66
20190327 09:26,63.74
20190327 09:46,61.92
20190327 10:06,80.85
20190327 10:26,83.98
20190327 10:46,73.51
20190327 11:06,81.47
20190327 11:26,75.26
20190327 11:46,69.71
20190327 12:06,90.09
20190327 12:26,81.03
20190327 12:46,64.52
20190327 13:06,52.82
20190327 13:26,55.65
20190327 13:46,70.06
20190327 14:06,67.46
20190327 14:26,57.87
20190327 14:46,42.48
20190327 15:06,58.86
20190327 15:26,60.09
20190327 15:46,45.9
20190327 16:06,48.44
20190327 16:26,92.11
20190327 16:46,83.38
20190327 17:06,61.68
20190327 17:26,106.25
20190327 17:46,103.24
20190327 18:06,125.97
20190327 18:26,69.65
20190327 18:46,69.5
20190327 19:06,61.42
20190327 19:26,60.92
20190327 19:46,69.12
20190327 20:06,58.68
20190327 20:26,32.24
20190327 20:46,9.33
20190327 21:06,24.3
20190327 21:26,12.36
20190327 21:46,0.91
20190327 22:26,45.1
