time_code,value
20191009 12:32,32.53
20191009 12:52,35.93
20191009 13:12,32.97
20191009 13:32,32.36
20191009 13:53,42.3
20191009 14:14,51.8
20191009 14:33,53.87
20191009 14:52,52.79
20191009 15:12,39.6
20191009 15:32,63.14
20191009 15:52,43.9
20191009 16:12,27.65
20191009 16:32,32.05
20191009 16:52,39.8
20191009 17:12,51.82
20191009 17:32,54.57
20191009 17:52,52.53
20191009 18:12,57.48
20191009 18:32,74.61
20191009 18:52,54.03
20191009 19:12,44.31
20191009 19:32,32.35
20191009 19:52,30.3
20191009 20:12,26.0
20191009 20:32,14.52
20191009 20:52,10.13
20191009 21:12,8.25
20191009 21:32,5.05
20191009 21:52,5.22
20191009 22:12,40.82
20191009 22:32,61.89
20191009 22:52,63.22
20191009 23:12,63.99
20191010 00:12,3.18
20191010 06:32,5.91
20191010 06:52,10.41
20191010 07:12,20.34
20191010 07:32,35.1
20191010 07:52,27.48
20191010 08:12,53.1
20191010 08:32,65.37
20191010 08:52,66.18
20191010 09:12,61.53
20191010 09:32,74.37
20191010 09:52,46.76
20191010 10:12,77.95
20191010 10:32,88.07
20191010 10:52,110.34
20191010 11:12,91.44
20191010 11:32,88.47
20191010 11:52,82.89
20191010 12:12,73.26
20191010 12:32,73.07
20191010 12:52,51.63
20191010 13:12,66.71
20191010 13:34,50.56
20191010 13:54,64.44
20191010 14:13,71.28
20191010 14:33,71.11
20191010 14:53,62.95
20191010 15:12,43.34
20191010 15:32,48.63
20191010 15:53,44.76
20191010 16:12,74.75
20191010 16:32,47.76
20191010 16:52,55.92
20191010 17:12,50.0
20191010 17:32,79.8
20191010 17:52,86.07
20191010 18:12,57.48
20191010 18:32,59.46
20191010 18:52,54.09
20191010 19:12,49.57
20191010 19:32,34.02
20191010 19:52,48.65
20191010 20:12,29.72
20191010 20:32,41.14
20191010 20:52,9.36
20191010 21:12,8.18
20191010 21:32,5.91
20191010 21:52,11.94
20191010 22:12,47.04
20191010 22:32,61.11
20191010 22:52,51.3
20191010 23:12,41.28
20191010 23:32,7.34
20191010 23:52,5.44
20191011 00:12,18.06
20191011 00:32,5.49
20191011 06:32,0.96
20191011 06:52,2.28
20191011 07:12,3.58
20191011 07:32,7.38
20191011 07:52,14.25
20191011 08:12,27.29
20191011 08:32,29.61
20191011 08:53,20.81
20191011 09:12,32.76
20191011 09:32,31.12
20191011 09:52,41.18
20191011 10:12,38.52
20191011 10:32,61.2
20191011 10:52,69.87
20191011 11:12,69.45
20191011 11:32,96.43
20191011 11:52,79.42
20191011 12:12,65.49
20191011 12:33,41.39
20191011 12:52,28.67
20191011 13:12,39.14
20191011 13:33,35.65
20191011 13:54,52.4
20191011 14:13,71.76
20191011 14:33,80.84
20191011 14:53,53.46
20191011 15:12,43.5
20191011 15:33,63.72
20191011 15:52,55.5
20191011 16:12,61.07
20191011 16:33,56.57
20191011 16:52,62.61
20191011 17:12,69.45
20191011 17:33,82.12
20191011 17:52,79.8
20191011 18:12,67.6
20191011 18:32,73.08
20191011 18:52,73.17
20191011 19:12,84.74
20191011 19:33,60.47
20191011 19:52,59.59
20191011 20:12,56.24
20191011 20:33,31.79
20191011 20:52,31.92
20191011 21:13,17.42
20191011 21:33,14.48
20191011 21:53,14.11
20191011 22:13,36.64
20191011 22:33,23.34
20191011 22:53,48.36
20191011 23:13,56.42
20191011 23:32,29.26
20191011 23:52,3.71
20191012 00:32,1.77
20191012 00:52,4.49
20191012 01:12,1.26
20191012 01:32,3.12
20191012 06:52,4.17
20191012 07:12,0.6
20191012 08:12,18.87
20191012 08:32,16.29
20191012 08:52,10.23
20191012 09:12,16.62
20191012 09:32,12.84
20191012 09:52,24.06
20191012 10:12,21.53
20191012 10:32,14.19
20191012 10:52,24.93
20191012 11:12,41.39
20191012 11:33,24.17
20191012 11:52,29.2
20191012 12:12,54.06
20191012 12:32,47.55
20191012 12:52,45.68
20191012 13:12,31.76
20191012 13:33,54.5
20191012 13:54,45.69
20191012 14:13,29.43
20191012 14:33,39.83
20191012 14:52,28.23
20191012 15:12,48.92
20191012 15:33,63.66
20191012 15:52,55.83
20191012 16:12,41.75
20191012 16:33,56.06
20191012 16:52,71.97
20191012 17:12,49.44
20191012 17:33,49.11
20191012 17:52,27.99
20191012 18:13,38.76
20191012 18:33,39.87
20191012 18:52,49.99
20191012 19:12,97.86
20191012 19:32,107.91
20191012 19:52,89.76
20191012 20:13,60.66
20191012 20:32,39.12
20191012 20:52,30.66
20191012 21:13,39.16
20191012 21:32,42.71
20191012 21:52,24.03
20191012 22:13,32.41
20191012 22:33,44.39
20191012 22:52,38.49
20191012 23:12,35.07
20191012 23:32,14.91
20191012 23:52,5.04
20191013 00:12,8.43
20191013 00:32,4.74
20191013 00:53,2.58
20191013 01:12,4.32
20191013 01:32,2.49
20191013 04:52,2.64
20191013 05:12,1.29
20191013 05:53,2.55
20191013 06:32,4.29
20191013 06:52,11.25
20191013 07:12,42.15
20191013 07:32,50.67
20191013 07:52,71.55
20191013 08:12,26.85
20191013 08:32,30.97
20191013 08:52,24.87
20191013 09:12,14.94
20191013 09:32,22.4
20191013 09:52,24.45
20191013 10:12,24.99
20191013 10:32,15.15
20191013 10:52,17.28
20191013 11:12,22.83
20191013 11:32,25.29
20191013 11:52,27.24
20191013 12:13,12.4
20191013 12:32,24.95
20191013 12:52,14.13
20191013 13:12,23.07
20191013 13:32,16.25
20191013 13:53,20.25
20191013 14:14,13.76
20191013 14:33,7.62
20191013 14:53,28.32
20191013 15:12,30.96
20191013 15:33,29.06
20191013 15:52,41.74
20191013 16:12,17.01
20191013 16:32,39.55
20191013 16:52,47.1
20191013 17:12,64.89
20191013 17:32,23.88
20191013 17:52,32.53
20191013 18:12,32.96
20191013 18:32,20.39
20191013 18:52,12.45
20191013 19:12,16.16
20191013 19:32,4.22
20191013 19:53,2.31
20191013 20:12,5.43
20191013 20:32,9.62
20191013 20:52,10.26
20191013 21:12,9.72
20191013 21:33,19.46
20191013 21:52,4.77
20191013 22:12,10.35
20191013 22:33,5.31
20191013 22:53,8.58
20191013 23:13,1.08
20191013 23:32,6.69
20191014 00:12,5.01
20191014 06:12,1.6
20191014 06:52,11.55
20191014 07:12,21.66
20191014 07:33,13.41
20191014 07:53,26.7
20191014 08:12,24.73
20191014 08:32,27.04
20191014 08:52,32.11
20191014 09:12,26.67
20191014 09:33,31.95
20191014 09:52,43.08
20191014 10:12,33.63
20191014 10:33,64.62
20191014 10:53,68.94
20191014 11:12,88.47
20191014 11:33,94.38
20191014 11:53,42.99
20191014 12:12,64.05
20191014 12:33,54.07
20191014 12:53,42.93
20191014 13:13,39.34
20191014 13:33,65.77
20191014 13:55,39.69
20191014 14:13,39.6
20191014 14:33,34.92
20191014 14:53,44.43
20191014 15:13,42.36
20191014 15:33,43.02
20191014 15:53,39.44
20191014 16:12,27.45
20191014 16:33,54.8
20191014 16:53,61.05
20191014 17:13,49.13
20191014 17:32,76.68
20191014 17:52,58.56
20191014 18:13,44.03
20191014 18:33,36.3
20191014 18:53,42.59
20191014 19:13,20.43
20191014 19:33,27.03
20191014 19:52,17.91
20191014 20:13,15.75
20191014 20:33,12.89
20191014 20:53,5.44
20191014 21:12,6.39
20191014 21:33,6.24
20191014 21:52,5.32
20191014 22:13,41.01
20191014 22:33,49.92
20191014 22:53,38.58
20191014 23:13,8.17
20191015 06:33,4.29
20191015 06:53,6.63
20191015 07:12,13.17
20191015 07:33,11.55
20191015 07:53,32.1
20191015 08:12,31.72
20191015 08:33,41.55
20191015 08:53,55.96
20191015 09:12,45.99
20191015 09:33,35.73
20191015 09:52,51.2
20191015 10:12,46.33
20191015 10:33,67.99
20191015 10:52,55.02
20191015 11:12,55.34
20191015 11:33,57.51
20191015 11:53,41.31
20191015 12:13,48.0
20191015 12:33,56.16
20191015 12:53,42.87
20191015 13:13,35.9
20191015 13:33,50.34
20191015 13:54,44.86
20191015 14:13,53.07
20191015 14:33,42.39
20191015 14:53,36.35
20191015 15:13,44.9
20191015 15:33,45.36
20191015 15:53,29.44
20191015 16:12,24.45
20191015 16:33,45.24
20191015 16:53,52.14
20191015 17:12,39.76
20191015 17:33,57.75
20191015 17:53,67.53
20191015 18:12,94.2
20191015 18:33,96.56
20191015 18:53,89.34
20191015 19:13,93.03
20191015 19:33,79.35
20191015 19:53,54.07
20191015 20:13,24.12
20191015 20:33,19.83
20191015 20:53,9.43
20191015 21:13,6.78
20191015 21:33,1.83
20191015 21:53,3.63
20191015 22:13,2.04
20191015 22:33,52.99
20191015 22:53,21.81
20191015 23:33,1.8
20191016 01:13,0.21
20191016 04:53,0.23
20191016 06:13,0.48
20191016 06:33,2.98
20191016 06:53,10.17
20191016 07:12,9.69
20191016 07:33,20.04
20191016 07:53,27.32
20191016 08:12,27.4
20191016 08:33,24.99
20191016 08:53,35.31
20191016 09:12,17.39
20191016 09:32,24.45
20191016 09:52,44.88
20191016 10:12,40.59
20191016 10:32,38.62
20191016 10:53,81.27
20191016 11:12,79.29
20191016 11:33,65.47
20191016 11:53,54.71
20191016 12:13,33.54
20191016 12:33,25.8
20191016 12:53,44.0
20191016 13:13,23.79
20191016 13:33,28.47
20191016 13:54,65.07
20191016 14:15,32.22
20191016 14:33,31.28
20191016 14:53,41.45
20191016 15:13,35.83
20191016 15:33,29.83
20191016 15:53,33.33
20191016 16:13,29.05
20191016 16:33,31.97
20191016 16:53,50.01
20191016 17:13,47.03
20191016 17:33,69.25
20191016 17:53,84.39
20191016 18:13,43.96
20191016 18:33,62.07
20191016 18:53,43.29
20191016 19:13,45.26
20191016 19:33,20.43
20191016 19:53,17.46
20191016 20:13,10.39
20191016 20:33,6.4
20191016 20:53,11.55
20191016 21:13,3.58
20191016 21:33,5.79
20191016 21:53,3.93
20191016 22:13,31.32
20191016 22:33,50.07
20191016 22:53,68.22
20191016 23:13,26.91
20191016 23:33,21.99
20191016 23:53,2.1
20191017 05:53,1.98
20191017 06:33,3.68
20191017 06:53,10.8
20191017 07:12,15.36
20191017 07:33,23.01
20191017 07:53,25.29
20191017 08:12,34.7
20191017 08:32,41.94
20191017 08:52,45.6
20191017 09:12,67.71
20191017 09:33,39.96
20191017 09:52,52.48
20191017 10:12,79.1
20191017 10:33,77.16
20191017 10:53,80.99
20191017 11:12,85.01
20191017 11:33,84.72
20191017 11:53,77.45
20191017 12:12,81.07
20191017 12:33,120.0
20191017 12:53,89.85
20191017 13:13,75.28
20191017 13:33,69.05
20191017 13:54,61.23
20191017 14:13,71.7
20191017 14:33,66.47
20191017 14:53,58.98
20191017 15:13,64.64
20191017 15:33,55.15
20191017 15:53,34.29
20191017 16:13,52.37
20191017 16:33,42.16
20191017 16:53,49.22
20191017 17:13,69.25
20191017 17:33,51.78
20191017 17:53,66.51
20191017 18:13,71.56
20191017 18:33,60.71
20191017 18:53,38.91
20191017 19:13,26.13
20191017 19:33,29.19
20191017 19:53,16.08
20191017 20:13,17.13
20191017 20:33,7.3
20191017 20:53,11.43
20191017 21:13,7.25
20191017 21:53,10.28
20191017 22:13,18.19
20191017 22:33,42.81
20191017 22:53,41.54
20191017 23:13,41.52
20191018 00:53,1.83
20191018 01:53,0.2
20191018 03:33,0.23
20191018 03:53,0.22
20191018 04:53,1.38
20191018 05:13,0.69
20191018 05:33,0.24
20191018 06:52,8.76
20191018 07:13,17.04
20191018 07:33,12.18
20191018 07:53,20.49
20191018 08:13,27.08
20191018 08:33,21.6
20191018 08:53,34.39
20191018 09:13,44.81
20191018 09:33,54.3
20191018 09:53,51.73
20191018 10:13,53.73
20191018 10:33,73.86
20191018 10:53,69.03
20191018 11:13,51.54
20191018 11:33,47.96
20191018 11:53,29.7
20191018 12:13,32.34
20191018 12:33,9.99
20191018 12:53,8.85
20191018 13:13,31.32
20191018 13:33,36.42
20191018 13:53,54.71
20191018 14:15,42.33
20191018 14:33,33.98
20191018 14:53,41.99
20191018 15:13,47.22
20191018 15:33,26.83
20191018 15:53,33.46
20191018 16:13,20.77
20191018 16:33,20.49
20191018 16:53,20.74
20191018 17:13,27.07
20191018 17:33,41.58
20191018 17:53,42.21
20191018 18:13,41.22
20191018 18:33,46.27
20191018 18:53,49.92
20191018 19:13,30.47
20191018 19:33,22.67
20191018 19:53,22.23
20191018 20:13,15.09
20191018 20:33,11.64
20191018 20:53,5.69
20191018 21:13,5.04
20191018 22:13,18.14
20191018 22:33,49.56
20191018 22:53,71.44
20191018 23:33,54.39
20191019 00:13,11.61
20191019 00:53,4.89
20191019 01:13,1.35
20191019 01:33,0.63
20191019 07:33,1.3
20191019 07:53,2.13
20191019 08:13,3.87
20191019 08:33,5.61
20191019 08:53,8.01
20191019 09:33,15.45
20191019 09:53,11.25
20191019 10:13,14.34
20191019 10:33,15.88
20191019 10:53,19.92
20191019 11:13,12.71
20191019 11:33,36.93
20191019 11:53,50.07
20191019 12:13,33.12
20191019 12:33,21.12
20191019 12:52,22.82
20191019 13:13,23.49
20191019 13:33,19.05
20191019 13:53,23.43
20191019 14:12,18.07
20191019 14:34,20.61
20191019 14:53,35.64
20191019 15:13,22.14
20191019 15:33,29.43
20191019 15:53,30.15
20191019 16:13,31.59
20191019 16:33,37.41
20191019 16:53,19.53
20191019 17:13,47.7
20191019 17:33,91.77
20191019 17:53,83.52
20191019 18:13,58.14
20191019 18:33,40.02
20191019 18:53,57.55
20191019 19:13,76.25
20191019 19:33,56.73
20191019 19:53,41.51
20191019 20:13,24.2
20191019 20:33,13.25
20191019 20:53,19.36
20191019 21:13,18.96
20191019 21:33,17.16
20191019 21:53,17.73
20191019 22:13,19.2
20191019 22:33,20.13
20191019 22:53,14.2
20191019 23:33,5.07
20191020 00:13,2.44
20191020 00:33,1.74
20191020 00:53,1.29
20191020 01:13,4.65
20191020 01:33,1.29
20191020 02:13,3.21
20191020 04:33,1.53
20191020 06:53,0.6
20191020 07:13,0.18
20191020 08:53,4.35
20191020 09:13,1.08
20191020 09:33,1.14
20191020 10:13,2.76
20191020 10:33,3.39
20191020 10:53,6.0
20191020 11:13,3.26
20191020 11:33,2.47
20191020 11:53,6.84
20191020 12:33,6.65
20191020 12:53,7.2
20191020 13:13,2.88
20191020 13:33,8.49
20191020 13:52,7.5
20191020 14:14,7.68
20191020 14:34,15.3
20191020 14:53,3.42
20191020 15:33,9.1
20191020 15:53,11.31
20191020 16:13,5.46
20191020 16:53,6.8
20191020 17:13,7.58
20191020 17:33,56.44
20191020 17:53,67.91
20191020 18:13,12.88
20191020 18:33,5.06
20191020 18:53,11.56
20191020 19:13,13.03
20191020 19:33,9.78
20191020 19:53,10.78
20191020 20:13,6.46
20191020 20:33,16.95
20191020 20:53,9.23
20191020 21:13,7.2
20191020 21:33,5.61
20191020 21:53,8.79
20191020 22:13,7.74
20191020 22:33,5.01
20191021 06:33,6.11
20191021 06:53,5.4
20191021 07:13,7.83
20191021 07:33,14.41
20191021 07:53,22.77
20191021 08:13,50.28
20191021 08:33,24.34
20191021 08:53,44.97
20191021 09:13,30.63
20191021 09:33,22.49
20191021 09:53,23.43
20191021 10:13,26.82
20191021 10:33,48.3
20191021 10:53,49.38
20191021 11:13,35.28
20191021 11:33,36.93
20191021 11:53,56.64
20191021 12:13,78.03
20191021 12:33,42.37
20191021 12:53,45.05
20191021 13:13,19.29
20191021 13:34,25.69
20191021 13:55,35.25
20191021 14:13,38.94
20191021 14:33,34.7
20191021 14:53,43.52
20191021 15:13,37.04
20191021 15:33,30.41
20191021 15:53,30.79
20191021 16:13,34.26
20191021 16:33,36.6
20191021 16:53,40.48
20191021 17:13,37.83
20191021 17:33,46.45
20191021 17:53,69.06
20191021 18:13,63.81
20191021 18:33,52.03
20191021 18:53,59.32
20191021 19:13,35.16
20191021 19:33,39.06
20191021 19:53,47.59
20191021 20:13,13.35
20191021 20:33,6.63
20191021 20:53,5.71
20191021 21:13,3.87
20191021 21:33,2.72
20191021 21:53,2.55
20191021 22:13,28.08
20191022 06:33,1.38
20191022 06:53,9.3
20191022 07:13,13.98
20191022 07:33,18.24
20191022 07:53,24.84
20191022 08:13,24.24
20191022 08:33,25.0
20191022 08:53,23.39
20191022 09:13,32.19
20191022 09:33,22.75
20191022 09:53,32.02
20191022 10:13,28.88
20191022 10:33,74.48
20191022 10:53,71.85
20191022 11:13,60.31
20191022 11:33,65.25
20191022 11:53,48.14
20191022 12:13,51.38
20191022 12:33,55.85
20191022 12:53,46.03
20191022 13:13,40.83
20191022 13:54,63.42
20191022 14:13,50.01
20191022 14:33,39.16
20191022 14:53,33.65
20191022 15:13,28.26
20191022 15:33,21.66
20191022 15:53,25.3
20191022 16:13,38.75
20191022 16:33,22.16
20191022 16:53,24.72
20191022 17:13,33.05
20191022 17:33,51.21
20191022 17:53,69.66
20191022 18:13,32.9
20191022 18:33,43.29
20191022 18:53,60.06
20191022 19:13,52.83
20191022 19:33,38.19
20191022 19:53,46.44
20191022 20:13,7.13
20191022 20:33,9.09
20191022 20:53,7.26
20191022 21:13,3.15
20191022 21:33,9.63
20191022 21:53,0.93
20191022 22:13,24.66
20191022 22:53,26.34
20191022 23:13,0.6
20191023 00:13,0.6
20191023 03:33,0.43
20191023 04:13,0.21
20191023 06:13,2.28
20191023 06:33,7.26
20191023 06:53,7.5
20191023 07:13,6.55
20191023 07:33,12.84
20191023 07:53,21.52
20191023 08:13,34.26
20191023 08:33,43.92
20191023 08:53,53.31
20191023 09:13,65.01
20191023 09:33,65.31
20191023 09:53,61.62
20191023 10:13,51.81
20191023 10:33,68.95
20191023 10:53,76.62
20191023 11:13,93.81
20191023 11:33,78.64
20191023 11:53,65.77
20191023 12:13,65.92
20191023 12:33,66.52
20191023 12:53,54.81
20191023 13:13,33.48
20191023 13:33,50.74
20191023 13:55,45.81
20191023 14:14,45.82
20191023 14:33,44.88
20191023 14:53,41.2
20191023 15:13,30.84
20191023 15:33,39.24
20191023 15:53,30.6
20191023 16:13,24.21
20191023 16:33,41.25
20191023 16:53,32.88
20191023 17:13,42.11
20191023 17:33,40.65
20191023 17:53,56.1
20191023 18:13,56.98
20191023 18:33,63.09
20191023 18:53,63.18
20191023 19:13,48.51
20191023 19:33,49.54
20191023 19:53,17.23
20191023 20:13,8.82
20191023 20:33,8.28
20191023 20:53,1.09
20191023 21:13,1.32
20191023 21:33,7.65
20191023 21:53,7.35
20191023 22:13,35.7
20191023 22:33,52.28
20191023 22:53,68.43
20191023 23:13,44.94
20191023 23:33,4.05
20191023 23:53,3.03
20191024 03:13,0.2
20191024 06:13,3.2
20191024 06:53,19.32
20191024 07:13,7.65
20191024 07:33,30.46
20191024 07:53,43.42
20191024 08:13,70.56
20191024 08:33,70.23
20191024 08:53,56.63
20191024 09:13,60.88
20191024 09:33,58.76
20191024 09:53,57.93
20191024 10:13,47.49
20191024 10:33,60.96
20191024 10:53,73.68
20191024 11:13,61.3
20191024 11:33,82.29
20191024 11:53,89.28
20191024 12:13,57.88
20191024 12:33,72.73
20191024 12:53,74.82
20191024 13:13,92.06
20191024 13:33,70.44
20191024 13:55,78.0
20191024 14:13,81.48
20191024 14:33,90.96
20191024 14:53,62.95
20191024 15:13,48.77
20191024 15:33,40.34
20191024 15:53,50.85
20191024 16:13,47.54
20191024 16:33,61.72
20191024 16:53,59.23
20191024 17:13,59.82
20191024 17:33,71.26
20191024 17:53,112.61
20191024 18:13,89.88
20191024 18:33,83.94
20191024 18:53,74.25
20191024 19:13,46.68
20191024 19:33,30.95
20191024 19:53,17.28
20191024 20:13,7.25
20191024 20:33,16.05
20191024 20:53,9.66
20191024 21:13,10.23
20191024 21:33,9.93
20191024 21:53,9.24
20191024 22:13,21.31
20191024 22:33,25.12
20191024 22:53,38.52
20191024 23:13,0.2
20191025 03:13,0.21
20191025 06:33,4.26
20191025 06:53,14.7
20191025 07:13,11.82
20191025 07:33,22.68
20191025 07:53,25.1
20191025 08:13,41.74
20191025 08:33,36.27
20191025 08:53,53.46
20191025 09:13,63.28
20191025 09:33,40.2
20191025 09:53,50.69
20191025 10:13,45.93
20191025 10:33,73.53
20191025 10:53,66.57
20191025 11:13,85.68
20191025 11:33,77.91
20191025 11:53,72.94
20191025 12:13,56.47
20191025 12:33,57.27
20191025 12:53,35.58
20191025 13:13,23.76
20191025 13:33,43.61
20191025 13:55,73.95
20191025 14:15,68.87
20191025 14:33,69.18
20191025 14:53,54.0
20191025 15:13,50.72
20191025 15:33,34.81
20191025 15:53,50.01
20191025 16:13,37.64
20191025 16:33,35.31
20191025 16:53,59.76
20191025 17:13,77.09
20191025 17:33,91.06
20191025 17:53,109.23
20191025 18:13,120.96
20191025 18:33,115.35
20191025 18:53,120.55
20191025 19:13,86.16
20191025 19:33,67.83
20191025 19:53,90.36
20191025 20:13,44.3
20191025 20:33,67.61
20191025 20:53,35.9
20191025 21:13,9.99
20191025 21:33,16.8
20191025 21:53,31.64
20191025 22:13,74.37
20191025 22:33,56.38
20191025 22:53,46.8
20191025 23:13,20.64
20191025 23:33,8.76
20191025 23:53,9.21
20191026 00:13,3.14
20191026 01:13,9.46
20191026 01:33,0.63
20191026 06:33,3.2
20191026 06:53,1.77
20191026 07:13,3.74
20191026 07:33,8.6
20191026 07:53,7.42
20191026 08:13,8.16
20191026 09:13,9.78
20191026 09:33,14.34
20191026 09:53,11.23
20191026 10:13,9.6
20191026 10:33,21.21
20191026 10:53,20.91
20191026 11:13,30.09
20191026 11:33,23.82
20191026 11:53,32.5
20191026 12:13,31.29
20191026 12:33,43.2
20191026 12:53,38.49
20191026 13:13,56.7
20191026 13:33,39.96
20191026 13:54,41.2
20191026 14:15,69.2
20191026 14:33,40.5
20191026 14:53,73.36
20191026 15:13,78.49
20191026 15:33,54.47
20191026 15:53,52.74
20191026 16:13,44.92
20191026 16:33,50.2
20191026 16:53,43.14
20191026 17:13,48.19
20191026 17:33,59.38
20191026 17:53,55.52
20191026 18:13,28.59
20191026 18:33,60.54
20191026 18:53,44.25
20191026 19:13,42.47
20191026 19:33,48.88
20191026 19:53,38.45
20191026 20:13,41.94
20191026 20:33,19.89
20191026 20:53,13.44
20191026 21:13,21.54
20191026 21:33,13.58
20191026 21:53,31.71
20191026 22:13,36.84
20191026 22:33,31.89
20191026 22:53,22.31
20191026 23:13,25.23
20191026 23:33,19.23
20191026 23:53,15.12
20191027 00:13,8.49
20191027 00:33,3.06
20191027 00:53,4.68
20191027 01:13,1.89
20191027 01:33,1.93
20191027 01:53,2.67
20191027 05:33,0.96
20191027 06:33,5.34
20191027 06:53,10.86
20191027 07:13,20.13
20191027 07:33,19.47
20191027 07:53,20.79
20191027 08:13,18.59
20191027 08:33,13.98
20191027 08:53,19.98
20191027 09:13,8.76
20191027 09:33,7.26
20191027 09:53,6.3
20191027 10:13,9.52
20191027 10:33,18.57
20191027 10:53,12.55
20191027 11:13,15.87
20191027 11:33,19.95
20191027 12:13,12.99
20191027 12:33,17.13
20191027 12:53,18.0
20191027 13:13,8.49
20191027 13:33,16.8
20191027 13:53,14.85
20191027 14:14,19.11
20191027 14:34,23.01
20191027 15:16,18.12
20191027 15:35,20.01
20191027 15:54,29.79
20191027 16:13,22.11
20191027 16:33,16.71
20191027 16:53,12.75
20191027 17:13,10.68
20191027 17:33,8.19
20191027 18:13,7.23
20191027 18:33,8.22
20191027 19:13,16.05
20191027 19:33,10.5
20191027 19:53,8.23
20191027 20:13,12.65
20191027 20:33,6.27
20191027 21:13,17.51
20191027 21:33,5.5
20191027 21:53,5.15
20191027 22:13,12.46
20191027 22:33,8.79
20191027 22:53,8.1
20191027 23:53,1.11
20191028 03:33,0.25
20191028 06:33,3.72
20191028 06:53,10.83
20191028 07:13,11.37
20191028 07:33,26.57
20191028 07:53,16.85
20191028 08:13,24.12
20191028 08:33,32.04
20191028 08:53,47.09
20191028 09:13,48.24
20191028 09:33,59.28
20191028 09:53,56.52
20191028 10:13,73.06
20191028 10:33,76.04
20191028 10:53,71.61
20191028 11:13,71.07
20191028 11:33,72.32
20191028 11:53,63.69
20191028 12:13,82.14
20191028 12:33,54.03
20191028 12:53,57.63
20191028 13:13,51.2
20191028 13:33,74.39
20191028 13:55,74.61
20191028 14:14,76.16
20191028 14:33,84.35
20191028 14:53,72.81
20191028 15:13,69.36
20191028 15:33,53.28
20191028 15:53,49.02
20191028 16:13,44.9
20191028 16:33,47.3
20191028 16:53,53.96
20191028 17:13,49.77
20191028 17:33,33.98
20191028 17:53,70.98
20191028 18:13,64.77
20191028 18:33,47.77
20191028 18:53,65.92
20191028 19:13,72.78
20191028 19:33,53.96
20191028 19:53,28.89
20191028 20:13,12.42
20191028 20:33,8.4
20191028 20:53,4.82
20191028 21:33,6.24
20191028 21:53,2.52
20191028 22:13,27.7
20191028 22:33,8.22
20191028 22:53,29.35
20191028 23:53,0.2
20191029 00:33,0.25
20191029 06:33,2.7
20191029 06:53,4.2
20191029 07:13,12.45
20191029 07:33,28.0
20191029 07:53,26.51
20191029 08:13,17.61
20191029 08:33,30.03
20191029 08:53,24.51
20191029 09:13,30.45
20191029 09:33,21.37
20191029 09:53,20.55
20191029 10:13,43.48
20191029 10:33,37.63
20191029 10:53,81.82
20191029 11:13,75.9
20191029 11:33,39.29
20191029 11:53,60.61
20191029 12:13,62.71
20191029 12:33,59.29
20191029 12:53,35.42
20191029 13:13,52.23
20191029 13:34,33.49
20191029 13:55,46.26
20191029 14:14,54.08
20191029 14:33,71.7
20191029 14:53,41.04
20191029 15:13,42.18
20191029 15:33,32.07
20191029 15:53,28.16
20191029 16:13,22.95
20191029 16:33,14.53
20191029 16:53,36.91
20191029 17:13,34.01
20191029 17:33,57.9
20191029 17:53,47.13
20191029 18:13,43.52
20191029 18:33,50.14
20191029 18:53,48.81
20191029 19:13,41.91
20191029 19:33,33.19
20191029 19:53,32.37
20191029 20:13,18.77
20191029 20:33,13.39
20191029 21:13,7.54
20191029 21:33,4.57
20191029 21:53,9.6
20191029 22:33,49.75
20191030 00:33,0.21
20191030 06:53,8.48
20191030 07:13,20.49
20191030 07:33,53.74
20191030 07:53,48.21
20191030 08:14,59.23
20191030 08:33,62.94
20191030 08:53,79.51
20191030 09:13,65.03
20191030 09:33,51.57
20191030 09:53,38.34
20191030 10:13,63.53
20191030 10:33,72.63
20191030 10:53,79.74
20191030 11:13,76.89
20191030 11:33,66.89
20191030 11:53,75.9
20191030 12:13,65.8
20191030 12:33,62.31
20191030 12:53,72.15
20191030 13:13,55.81
20191030 13:33,67.23
20191030 14:14,68.55
20191030 14:33,66.7
20191030 14:54,42.89
20191030 15:13,34.9
20191030 15:33,45.63
20191030 15:53,30.25
20191030 16:13,36.91
20191030 16:33,51.87
20191030 16:53,59.13
20191030 17:13,52.8
20191030 17:33,76.07
20191030 17:53,81.3
20191030 18:13,79.93
20191030 18:33,84.42
20191030 18:53,62.58
20191030 19:13,48.87
20191030 19:33,38.81
20191030 19:53,36.87
20191030 20:13,23.76
20191030 20:33,21.78
20191030 20:53,9.9
20191030 21:33,4.0
20191030 21:53,3.26
20191030 22:13,21.15
20191030 22:33,40.38
20191030 23:33,0.39
20191030 23:53,0.21
20191031 06:33,3.36
20191031 06:53,8.28
20191031 07:13,13.25
20191031 07:33,53.99
20191031 07:53,60.78
20191031 08:13,65.43
20191031 08:33,66.41
20191031 08:53,62.61
20191031 09:13,61.09
20191031 09:33,27.54
20191031 09:53,55.91
20191031 10:13,66.27
20191031 10:33,68.88
20191031 10:53,76.44
20191031 11:13,76.83
20191031 11:33,74.02
20191031 11:53,72.13
20191031 12:13,76.36
20191031 12:33,71.58
20191031 12:53,87.69
20191031 13:13,66.39
20191031 13:34,49.8
20191031 13:54,70.43
20191031 14:13,73.12
20191031 14:35,66.48
20191031 14:57,60.76
20191031 15:15,50.73
20191031 15:35,34.33
20191031 15:54,31.71
20191031 16:13,41.92
20191031 16:33,39.59
20191031 16:53,40.75
