2022-06-06,ID,Jakarta,temperature,72,24.0,33.0,25.0,113.45
2019-10-30,ID,Jakarta,wind-speed,72,0.9,5.0,2.0,12.31
2022-02-05,ID,Jakarta,dew,26,23.0,25.0,24.0,3.85
2021-06-15,ID,Jakarta,pm10,69,14.0,103.0,41.0,4999.37
2022-03-11,ID,Jakarta,pm25,70,25.0,171.0,102.0,24015.8
2021-08-06,ID,Jakarta,dew,34,20.5,23.0,22.0,6.52
2023-05-22,ID,Jakarta,wind-speed,72,0.7,4.3,1.8,16.92
2020-01-08,ID,Jakarta,pressure,72,1007.5,1011.1,1009.8,10.36
2021-09-16,ID,Jakarta,pm10,69,8.0,63.0,32.0,2494.83
2020-09-19,ID,Jakarta,pm10,60,32.0,93.0,70.0,3711.33
2018-02-15,ID,Jakarta,pm25,48,25.0,159.0,63.0,9999.36
2019-11-26,ID,Jakarta,temperature,48,27.2,34.4,32.8,110.17
2020-09-25,ID,Jakarta,pressure,60,1007.0,1014.9,1011.0,55.02
2019-04-08,ID,Jakarta,dew,28,23.0,29.0,26.0,46.36
2021-07-23,ID,Jakarta,dew,40,21.0,25.0,23.5,9.26
2020-06-10,ID,Jakarta,wind-speed,50,0.2,7.8,4.1,40.46
2022-06-20,ID,Jakarta,humidity,72,43.1,92.5,77.4,2416.43
2019-12-17,ID,Jakarta,temperature,72,25.0,36.4,25.7,156.27
2022-09-03,ID,Jakarta,wind-speed,72,2.5,7.9,3.6,19.79
2022-10-28,ID,Jakarta,humidity,72,30.6,89.2,60.7,4321.47
2021-10-08,ID,Jakarta,pressure,72,1010.2,1013.8,1012.1,10.5
2020-01-31,ID,Jakarta,pm25,71,30.0,166.0,74.0,14992.4
2019-02-27,ID,Jakarta,humidity,72,41.4,89.9,71.5,2308.68
2019-05-22,ID,Jakarta,humidity,46,39.5,88.1,70.6,1864.14
2019-12-18,ID,Jakarta,wind-speed,66,0.1,5.8,2.0,25.21
2023-06-18,ID,Jakarta,pm25,47,42.0,165.0,124.0,18096.6
2021-04-03,ID,Jakarta,pressure,72,1007.0,1013.2,1010.7,19.73
2022-01-03,ID,Jakarta,wind-speed,51,0.7,5.3,3.3,16.43
2023-04-21,ID,Jakarta,pressure,72,1005.0,1009.5,1007.0,20.63
2022-02-21,ID,Jakarta,wind-gust,22,0.4,9.4,3.5,102.55
2019-02-25,ID,Jakarta,pm25,47,25.0,159.0,70.0,17632.1
2022-02-26,ID,Jakarta,temperature,54,24.0,31.0,26.1,43.74
2021-11-05,ID,Jakarta,humidity,66,54.9,100.0,83.0,1760.27
2021-10-15,ID,Jakarta,wind-speed,72,0.2,6.4,1.6,34.64
2023-08-01,ID,Jakarta,humidity,63,38.0,85.5,63.5,2185.55
2021-11-06,ID,Jakarta,pm25,67,1.0,167.0,61.0,17912.3
2020-11-04,ID,Jakarta,pressure,72,1011.0,1015.4,1013.9,16.12
2021-07-09,ID,Jakarta,humidity,62,44.5,91.0,63.5,1883.99
2021-04-08,ID,Jakarta,pressure,72,1005.0,1012.9,1010.1,39.05
2019-09-13,ID,Jakarta,pressure,66,1011.6,1015.7,1014.1,14.3
2019-12-14,ID,Jakarta,wind-speed,69,0.5,5.3,2.9,17.62
2020-05-19,ID,Jakarta,humidity,62,48.9,100.0,70.0,2434.69
2019-04-19,ID,Jakarta,wind-speed,6,1.5,2.3,2.0,1.31
2023-06-19,ID,Jakarta,pm25,47,57.0,144.0,95.0,3802.17
2019-12-10,ID,Jakarta,wind-gust,48,0.1,8.9,3.2,56.08
2021-04-20,ID,Jakarta,dew,30,21.0,25.0,23.0,9.93
2020-07-13,ID,Jakarta,pm25,48,82.0,161.0,144.0,4928.79
2020-03-24,ID,Jakarta,pm25,67,1.0,177.0,137.0,22653.0
2020-06-18,ID,Jakarta,dew,36,21.5,24.0,23.0,7.21
2019-09-16,ID,Jakarta,temperature,72,25.0,32.8,27.7,71.68
2020-06-11,ID,Jakarta,humidity,56,49.3,94.0,66.0,1679.44
2020-01-19,ID,Jakarta,pm25,67,21.0,197.0,125.0,23326.2
2019-08-25,ID,Jakarta,temperature,72,23.5,31.5,27.0,65.37
2022-10-13,ID,Jakarta,pressure,72,1010.0,1013.9,1012.4,9.2
2020-09-11,ID,Jakarta,pressure,58,1006.5,1014.2,1009.9,47.92
2022-03-23,ID,Jakarta,pressure,64,1007.0,1013.8,1010.1,37.54
2021-10-08,ID,Jakarta,pm25,48,57.0,166.0,97.0,7961.97
2019-07-30,ID,Jakarta,pressure,72,1010.5,1016.4,1012.6,30.48
2020-09-04,ID,Jakarta,wind-speed,55,0.1,9.6,4.3,81.95
2022-02-09,ID,Jakarta,dew,26,23.0,24.5,24.0,3.02
2019-04-16,ID,Jakarta,pm25,47,78.0,169.0,127.0,6112.12
2021-01-31,ID,Jakarta,humidity,57,70.0,100.0,83.0,808.53
2020-05-06,ID,Jakarta,dew,30,23.5,25.0,24.5,3.17
2022-04-07,ID,Jakarta,temperature,72,25.0,39.8,27.2,202.24
2020-04-14,ID,Jakarta,pressure,72,1007.0,1013.1,1011.0,27.64
2020-07-02,ID,Jakarta,humidity,58,57.0,88.0,80.5,743.56
2021-11-02,ID,Jakarta,temperature,50,24.4,37.8,27.0,107.81
2021-06-12,ID,Jakarta,wind-gust,23,0.3,11.7,4.4,108.19
2021-01-02,ID,Jakarta,pressure,60,1006.0,1012.4,1009.0,38.52
2021-10-06,ID,Jakarta,pm25,48,50.0,152.0,104.0,7354.88
2020-10-16,ID,Jakarta,wind-gust,24,0.6,9.8,3.2,54.7
2022-05-08,ID,Jakarta,wind-gust,69,0.3,7.4,4.1,32.86
2021-07-11,ID,Jakarta,temperature,62,25.0,33.6,29.0,55.73
2022-02-26,ID,Jakarta,humidity,54,60.0,97.0,83.0,889.02
2022-11-08,ID,Jakarta,pressure,72,1011.1,1014.4,1013.1,10.22
2021-08-17,ID,Jakarta,wind-speed,52,0.2,7.4,2.5,32.99
2023-09-17,ID,Jakarta,pressure,63,1007.0,1012.0,1010.5,31.43
2023-02-18,ID,Jakarta,humidity,72,70.0,97.0,88.0,766.62
2023-03-22,ID,Jakarta,humidity,54,59.0,94.0,70.5,1488.34
2019-10-02,ID,Jakarta,wind-gust,69,1.0,15.6,4.4,186.88
2018-06-26,ID,Jakarta,wind-speed,34,0.1,3.5,1.3,16.27
2019-06-22,ID,Jakarta,wind-speed,72,0.2,5.4,1.5,20.62
2020-05-01,ID,Jakarta,pm25,48,55.0,165.0,104.0,11149.6
2023-03-23,ID,Jakarta,humidity,48,55.0,94.0,66.0,1619.36
2020-03-17,ID,Jakarta,pm25,67,11.0,170.0,102.0,11095.0
2019-05-20,ID,Jakarta,wind-gust,48,2.2,11.6,4.1,55.33
2020-03-12,ID,Jakarta,humidity,72,65.4,91.0,83.0,565.97
2021-11-08,ID,Jakarta,pm10,66,13.0,68.0,45.0,2495.35
2019-01-26,ID,Jakarta,wind-gust,72,0.2,14.9,3.3,254.79
2019-03-25,ID,Jakarta,humidity,64,49.4,84.3,71.5,1150.31
2020-04-25,ID,Jakarta,pressure,52,1007.5,1011.6,1009.0,18.25
2019-07-24,ID,Jakarta,pressure,72,1012.6,1016.8,1015.0,16.7
2023-05-23,ID,Jakarta,pm25,46,70.0,164.0,116.0,12423.6
2023-01-24,ID,Jakarta,dew,57,23.5,25.0,24.0,1.93
2023-08-03,ID,Jakarta,wind-speed,60,0.7,6.1,2.5,25.65
2023-08-04,ID,Jakarta,humidity,60,49.0,94.0,68.0,2400.36
2022-02-03,ID,Jakarta,pressure,52,1007.0,1013.4,1010.0,40.35
2022-10-09,ID,Jakarta,wind-speed,33,0.1,6.0,0.5,45.21
2023-05-18,ID,Jakarta,pm25,71,66.0,168.0,141.0,6680.54
2020-05-08,ID,Jakarta,temperature,56,26.0,36.7,29.0,67.52
2020-10-15,ID,Jakarta,temperature,60,25.5,36.7,29.5,120.5
2022-08-27,ID,Jakarta,pressure,72,1009.4,1013.2,1011.5,14.33
2023-08-01,ID,Jakarta,temperature,63,23.5,34.0,29.0,106.59
2023-06-12,ID,Jakarta,humidity,60,52.0,88.0,64.5,1620.63
2020-10-22,ID,Jakarta,dew,30,21.5,245.0,22.5,59045.2
2019-07-28,ID,Jakarta,pressure,72,1012.4,1017.0,1015.2,19.74
2020-12-13,ID,Jakarta,pm10,69,15.0,40.0,25.0,442.48
2020-12-02,ID,Jakarta,temperature,54,25.0,37.7,30.2,119.57
2020-09-16,ID,Jakarta,pm25,48,70.0,149.0,102.0,5304.89
2023-01-16,ID,Jakarta,pm10,51,3.0,58.0,7.0,3419.36
2023-02-25,ID,Jakarta,pm25,48,17.0,112.0,63.0,3770.9
2021-04-18,ID,Jakarta,wind-gust,63,0.2,7.3,2.2,33.89
2023-07-05,ID,Jakarta,wind-speed,54,0.5,5.1,1.5,14.32
2023-02-20,ID,Jakarta,temperature,72,25.0,30.0,27.0,25.88
2022-04-06,ID,Jakarta,pm25,71,34.0,305.0,74.0,14194.7
